model,best_parameters,accuracy_in_%,runtime_in_seconds,source
KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",77.38,51,unscaled
KNeighborsClassifier,"{'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",81.42,45,scaled
LogisticRegression,"{'C': 0.1, 'max_iter': 7000, 'penalty': 'l1', 'solver': 'liblinear'}",78.63,49,unscaled
LogisticRegression,"{'C': 0.1, 'max_iter': 7000, 'penalty': 'l1', 'solver': 'liblinear'}",78.63,45,scaled
DecisionTreeClassifier,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2}",81.48,0,unscaled
DecisionTreeClassifier,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2}",81.5,0,scaled
RandomForestClassifier,"{'bootstrap': True, 'max_features': 0.5, 'n_estimators': 80}",85.88,27,unscaled
RandomForestClassifier,"{'bootstrap': True, 'max_features': 0.5, 'n_estimators': 80}",85.97,27,scaled
GradientBoostingClassifier,"{'learning_rate': 0.5, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 100, 'subsample': 1.0}",83.84,45,unscaled
GradientBoostingClassifier,"{'learning_rate': 0.5, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 100, 'subsample': 1.0}",83.81,45,scaled
BaggingClassifier,"{'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 80}",85.94,51,unscaled
BaggingClassifier,"{'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 80}",85.89,48,scaled
AdaBoostClassifier,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 40}",80.71,3,unscaled
AdaBoostClassifier,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 40}",80.71,3,scaled
